tag_name,tag_prob,tag_resp,#_in_feedback,prob_threshold
SELECT_AGG_v2,0.9907897710800171,1,1,0.995
SELECT_AGG_v2,0.9893935918807983,1,2,0.995
SELECT_AGG_v2,0.8553933501243591,1,1,0.995
SELECT_AGG_v2,0.8683305382728577,1,1,0.995
SELECT_AGG_v2,0.507726788520813,1,2,0.995
WHERE_COL,0.8143243789672852,1,3,0.995
WHERE_OP,0.994407057762146,1,4,0.995
SELECT_AGG_v2,0.5592608451843262,1,1,0.995
SELECT_AGG_v2,0.5867249965667725,1,2,0.995
WHERE_COL,0.7015008926391602,0,3,0.995
WHERE_COL,0.29009363055229187,1,4,0.995
WHERE_COL,0.004772660322487354,0,5,0.995
WHERE_COL,0.002265726216137409,0,6,0.995
WHERE_OP,0.8492414355278015,1,7,0.995
SELECT_AGG_v2,0.5343769788742065,1,1,0.995
SELECT_AGG_v2,0.8178637027740479,1,2,0.995
WHERE_COL,0.9236082434654236,1,3,0.995
SELECT_AGG_v2,0.9230905175209045,1,1,0.995
SELECT_AGG_v2,0.772042453289032,1,2,0.995
SELECT_AGG_v2,0.930315375328064,1,3,0.995
SELECT_AGG_v2,0.9060493929604665,0,1,0.995
SELECT_AGG_v2,0.72998693402626,0,2,0.995
SELECT_AGG_v2,0.5183977053298713,0,3,0.995
SELECT_AGG_v2,0.5075337227215226,0,4,0.995
SELECT_AGG_v2,0.9393241420409565,0,1,0.995
SELECT_AGG_v2,0.5534240094121633,0,2,0.995
SELECT_AGG_v2,0.5154312747585461,0,3,0.995
SELECT_AGG_v2,0.4788961479219756,0,4,0.995
WHERE_COL,0.8869535326957703,0,5,0.995
WHERE_COL,0.08064501732587814,1,6,0.995
WHERE_COL,0.02136046811938286,0,7,0.995
WHERE_COL,0.007392372004687786,0,8,0.995
SELECT_AGG_v2,0.9887334108352661,1,1,0.995
SELECT_AGG_v2,0.8748195143938883,0,2,0.995
SELECT_AGG_v2,0.7883680499110823,1,3,0.995
SELECT_AGG_v2,0.02352815866470337,0,4,0.995
SELECT_AGG_v2,0.18126693787529385,0,5,0.995
SELECT_AGG_v2,0.9846611618995667,1,1,0.995
SELECT_AGG_v2,0.7770016559079715,0,2,0.995
SELECT_AGG_v2,0.20992229878902435,0,3,0.995
SELECT_AGG_v2,0.6666471995351709,0,4,0.995
SELECT_AGG_v2,0.11879038810729979,0,5,0.995
SELECT_AGG_v2,0.6493403911590576,1,1,0.995
SELECT_AGG_v2,0.7048009037971497,0,2,0.995
SELECT_AGG_v2,0.28664371371269226,1,3,0.995
SELECT_AGG_v2,0.2726017189157586,0,4,0.995
SELECT_AGG_v2,0.0019235190702602272,0,5,0.995
GROUP_COL,0.9514360427856445,1,6,0.995
ORDER_AGG_v2,0.9908010728758826,0,7,0.995
ORDER_AGG_v2,0.3520027144842764,0,8,0.995
ORDER_AGG_v2,0.34888224655817185,1,9,0.995
ORDER_AGG_v2,0.2767497299894309,0,10,0.995
SELECT_AGG_v2,0.6800065040588379,0,1,0.995
SELECT_AGG_v2,0.27834901213645935,1,2,0.995
SELECT_AGG_v2,0.041515804827213294,1,3,0.995
SELECT_AGG_v2,0.00012830185005441297,0,4,0.995
GROUP_COL,0.9770570397377014,1,5,0.995
ORDER_AGG_v2,0.903322625342057,0,6,0.995
ORDER_AGG_v2,0.7265830743498758,1,7,0.995
ORDER_AGG_v2,0.41272062097240675,0,8,0.995
ORDER_AGG_v2,0.3897882733701733,0,9,0.995
SELECT_AGG_v2,0.6642878651618958,0,1,0.995
SELECT_AGG_v2,0.3357066214084625,1,2,0.995
SELECT_AGG_v2,3.6256412840884894e-06,0,3,0.995
SELECT_AGG_v2,1.7957387399292202e-06,0,4,0.995
HAV_AGG_v2,0.9821166409269406,0,5,0.995
HAV_AGG_v2,0.512881094034932,1,6,0.995
HAV_AGG_v2,0.12880883688324257,0,7,0.995
HAV_AGG_v2,0.09466597741844211,0,8,0.995
